abit : 43,cramped : 0,bottled tea : 0,not working : 3,unacceptable : 5,not working : 32,liking : 3
disturb : 43,cramped area : 0,bottled water : 0,only negative : 3,bedside : 4,unfriendly : 32,mediocre : 3
worst hotel : 43,cramped bathroom : 0,burger : 0,plug : 3,claim : 4,dirty carpet : 31,minor complaint : 3
cupboard : 42,cramped bedroom : 0,camping : 0,policy : 3,cramped room : 4,feedback : 31,negative thing : 3
pricing : 42,cramped feel : 0,claim : 0,poor breakfast : 3,device : 4,poor breakfast : 31,pricey room : 3
poor breakfast : 41,cramped hotel : 0,claustrophobic : 0,poor service : 3,dusty : 4,dusty : 30,smallest room : 3
reviewer : 41,cramped lobby : 0,claustrophobic feel : 0,renovation : 3,fashion : 4,fashion : 30,smallish : 3
unfriendly : 41,cramped quarters : 0,claustrophobic person : 0,rude staff : 3,feedback : 4,negative comment : 30,stale : 3
not working : 40,cramped room : 0,claustrophobic room : 0,smallish : 3,london : 4,worst hotel : 30,struggle : 3
feedback : 38,cramped size : 0,concrete : 0,abit : 2,mediocre : 4,bare : 29,tear : 3
dusty : 37,cramped space : 0,confuse : 0,argue : 2,not aware : 4,minor issue : 29,unacceptable : 3
electrical outlet : 37,crap : 0,correct amount : 0,confuse : 2,not disturb : 4,reviewer : 29,useless : 3
fashion : 37,crazy : 0,correct breakfast : 0,correct way : 2,pricy : 4,waitress : 29,wet room : 3
minor issue : 37,crazy amount : 0,correct bus : 0,criticism : 2,shelf : 4,pain : 28,worse : 3
negative point : 37,crazy busy : 0,correct exit : 0,cupboard : 2,stiff : 4,disturb : 27,affect : 2
pain : 37,crazy city : 0,correct hotel : 0,dirty floor : 2,unfriendly staff : 4,shelf : 27,dead area : 2
warning : 37,crazy expensive : 0,correct information : 0,disappointing restaurant : 2,useless : 4,useless : 27,disappointing recommendation : 2
dangerous : 36,crazy hour : 0,correct location : 0,drunk : 2,waitress : 4,drain : 25,disturb : 2
london : 36,crazy kid : 0,correct number : 0,exciting : 2,warning : 4,remind : 25,fashion : 2
negative comment : 36,crazy night : 0,correct order : 0,friday : 2,waste : 4,shock : 25,feedback : 2
dirty carpet : 34,crazy number : 0,correct password : 0,funny smell : 2,wet room : 4,ugly : 25,insist : 2
wet room : 34,crazy price : 0,correct place : 0,garbage : 2,yellow : 4,warning : 25,little uncomfortable : 2
crew : 33,crazy shopper : 0,correct price : 0,gripe : 2,ability : 3,wet room : 25,minor detail : 2
dead : 33,crazy shopping : 0,correct room : 0,handful : 2,affect : 3,crew : 24,minor downside : 2
bare : 32,crazy station : 0,correct service : 0,horrible : 2,argue : 3,gesture : 24,minor issue : 2
insist : 32,crazy time : 0,correct spelling : 0,involve : 2,bang : 3,pricey restaurant : 24,minor negative : 2
inch : 31,crazy view : 0,correct time : 0,joke : 2,bottled drink : 3,rule : 24,minor quibble : 2
remind : 31,crew : 0,correct way : 0,liking : 2,claustrophobic room : 3,stain : 24,minor thing : 2
rollaway : 31,criticism : 0,cottage : 0,london : 2,concrete : 3,dangerous : 23,mixed experience : 2
rude staff : 31,cry : 0,cramped : 0,mediocre hotel : 2,cupboard : 3,negative point : 23,neck : 2
rule : 31,cupboard : 0,cramped area : 0,minor drawback : 2,disappointing breakfast : 3,poor quality : 23,negative experience : 2
yellow : 31,curtain : 0,cramped bathroom : 0,mixed onsen : 2,drain : 3,rude staff : 23,outdated : 2
gesture : 30,dangerous : 0,cramped bedroom : 0,negative experience : 2,dusty room : 3,drunk : 22,pain : 2
drain : 29,dangerous road : 0,cramped feel : 0,negative reviews : 2,exciting : 3,insist : 22,poor choice : 2
shock : 29,dangerous step : 0,cramped hotel : 0,not aware : 2,friday : 3,london : 22,poor experience : 2
smallish room : 29,dated : 0,cramped lobby : 0,not uncomfortable : 2,handful : 3,neck : 22,pricey place : 2
ability : 28,dead : 0,cramped quarters : 0,other negative : 2,meat : 3,poor english : 22,romantic view : 2
stain : 28,dead area : 0,cramped room : 0,outdated decor : 2,minor issue : 3,smallish room : 22,rude person : 2
bang : 27,dead end : 0,cramped size : 0,outdated room : 2,mold : 3,duvet : 21,rude service : 2
drunk : 27,device : 0,cramped space : 0,pain : 2,negative reviews : 3,electrical outlet : 21,rude staff : 2
poor quality : 27,dirty : 0,crap : 0,paint : 2,not worst : 3,rollaway : 21,sharp : 2
pricey restaurant : 27,dirty area : 0,crazy : 0,patch : 2,poor experience : 3,yellow : 21,smallish room : 2
ugly : 27,dirty bathroom : 0,crazy amount : 0,poor conditioning : 2,poor isolation : 3,claim : 20,stale smoke : 2
claim : 26,dirty blanket : 0,crazy busy : 0,poor view : 2,poor selection : 3,dirty room : 20,stuffy hotel : 2
duvet : 26,dirty carpet : 0,crazy city : 0,pricy : 2,refuse : 3,problematic : 20,suffer : 2
liking : 25,dirty carpeting : 0,crazy expensive : 0,remind : 2,rude staff : 3,unreasonable : 20,trash : 2
pricey hotel : 25,dirty chair : 0,crazy hour : 0,romantic trip : 2,smallish room : 3,bang : 19,unreasonable : 2
stiff : 25,dirty clothe : 0,crazy kid : 0,rule : 2,soundproofing : 3,pricey hotel : 19,unsure : 2
unreasonable : 25,dirty cup : 0,crazy night : 0,sharp : 2,stain : 3,stale smell : 19,worst experience : 2
friday : 24,dirty curtain : 0,crazy number : 0,stale : 2,stale cigarette : 3,ability : 18,abit : 0
neck : 24,dirty dish : 0,crazy price : 0,stiff : 2,stressful : 3,dead : 18,accord : 0
poor english : 24,dirty feel : 0,crazy shopper : 0,terrible service : 2,terrible service : 3,friday : 18,accurate : 0
accurate : 23,dirty filter : 0,crazy shopping : 0,uncomfortable night : 2,terrible wifi : 3,inch : 18,accurate information : 0
dirty room : 23,dirty floor : 0,crazy station : 0,uncomfortable pillow : 2,weird thing : 3,inconsistent : 18,accurate reviews : 0
negative reviews : 23,dirty glass : 0,crazy time : 0,wet area : 2,wet clothe : 3,liking : 18,advanced : 0
rollaway bed : 23,dirty hallway : 0,crazy view : 0,wet floor : 2,worst experience : 3,background : 17,advanced book : 0
sharp : 23,dirty hotel : 0,crew : 0,wet room : 2,accurate : 2,negative reviews : 17,advanced reservation : 0
stressful : 23,dirty linen : 0,criticism : 0,wet weather : 2,advanced : 2,stiff : 17,advanced toilet : 0
stuffy room : 23,dirty luggage : 0,cry : 0,worst experience : 2,annoying elevator : 2,affair : 16,affair : 0
background : 22,dirty restaurant : 0,cupboard : 0,worst thing : 2,annoying step : 2,outdated room : 16,aircon : 0
handful : 22,dirty room : 0,dangerous : 0,accord : 0,annoying thing : 2,pricey breakfast : 16,annoying elevator : 0
paint : 22,dirty rug : 0,dangerous road : 0,accurate information : 0,background : 2,sharp : 16,annoying habit : 0
inconsistent : 21,dirty sheet : 0,dangerous step : 0,accurate reviews : 0,blanket : 2,stuffy room : 16,annoying noise : 0
problematic : 21,dirty stain : 0,dated : 0,advanced : 0,camping : 2,uncomfortable pillow : 16,annoying part : 0
affect : 20,dirty toilet : 0,dead : 0,advanced book : 0,cramped bathroom : 2,negative nothing : 15,annoying room : 0
cottage : 20,dirty towel : 0,dead area : 0,advanced reservation : 0,dead : 2,pricey room : 15,annoying step : 0
outdated room : 20,dirty wall : 0,dead end : 0,advanced toilet : 0,dirty room : 2,rollaway bed : 15,annoying thing : 0
stale smell : 20,dirty water : 0,device : 0,affair : 0,disappointing hotel : 2,garbage : 14,annoying wifi : 0
uncomfortable pillow : 20,disappointing : 0,dirty area : 0,annoying elevator : 0,disappointing selection : 2,handful : 14,argue : 0
garbage : 19,disappointing area : 0,dirty bathroom : 0,annoying habit : 0,disappointing stay : 2,paint : 14,aware guest : 0
terrible service : 19,disappointing bathroom : 0,dirty blanket : 0,annoying noise : 0,dog : 2,poor selection : 14,aware hotel : 0
affair : 18,disappointing breakfast : 0,dirty carpet : 0,annoying part : 0,drunk : 2,stressful : 14,aware management : 0
disappointing breakfast : 18,disappointing buffet : 0,dirty carpeting : 0,annoying room : 0,duvet : 2,advanced : 13,aware person : 0
not aware : 18,disappointing choice : 0,dirty chair : 0,annoying step : 0,existent : 2,disappointing breakfast : 13,aware room : 0
not disturb : 18,disappointing dinner : 0,dirty clothe : 0,annoying thing : 0,existent space : 2,gotemba : 13,aware something : 0
pricey room : 18,disappointing experience : 0,dirty cup : 0,annoying wifi : 0,fry : 2,pricey side : 13,aware thing : 0
pricey side : 18,disappointing fact : 0,dirty curtain : 0,aware guest : 0,garbage : 2,refuse : 13,aware traveler : 0
refuse : 18,disappointing food : 0,dirty dish : 0,aware hotel : 0,gesture : 2,tear : 13,awkward bathroom : 0
tear : 18,disappointing gym : 0,dirty feel : 0,aware management : 0,horrible room : 2,terrible service : 13,awkward bit : 0
worst experience : 18,disappointing hotel : 0,dirty filter : 0,aware person : 0,inconsistent : 2,affect : 12,awkward configuration : 0
advanced : 17,disappointing location : 0,dirty floor : 0,aware room : 0,liking : 2,annoying thing : 12,awkward layout : 0
blanket : 17,disappointing lounge : 0,dirty glass : 0,aware something : 0,little disappointing : 2,confuse : 12,awkward position : 0
poor selection : 17,disappointing meal : 0,dirty hallway : 0,aware thing : 0,mediocre breakfast : 2,hanger : 12,awkward shower : 0
pricey breakfast : 17,disappointing place : 0,dirty hotel : 0,aware traveler : 0,minor problem : 2,negative experience : 12,awkward situation : 0
argue : 16,disappointing point : 0,dirty linen : 0,awkward bathroom : 0,negative anything : 2,negative side : 12,awkward time : 0
confuse : 16,disappointing pool : 0,dirty luggage : 0,awkward bit : 0,packet : 2,not disturb : 12,background : 0
minor complaint : 16,disappointing quality : 0,dirty restaurant : 0,awkward configuration : 0,plate : 2,worst part : 12,backpacker : 0
negative experience : 16,disappointing recommendation : 0,dirty room : 0,awkward layout : 0,poor condition : 2,accurate : 11,ball : 0
negative nothing : 16,disappointing restaurant : 0,dirty rug : 0,awkward position : 0,poor food : 2,argue : 11,bang : 0
