Keywords,Alpha,C,kernel,Average_F1,StDv_F1,Average_Accuracy,StDv_Accuracy,Average_Precision,StDv_Precision,Average_Recall,StDv_Recall
Positive,1.25,2.5,linear,0.8504382960035134,0.04201213659499182,0.7806451612903226,0.055498872690597584,0.8811641257293431,0.03886099949784684,0.8225752508361204,0.05086031812764435
Negative,1.25,2.5,linear,0.8712396974678651,0.04462455689250659,0.8064516129032258,0.04080358271185007,0.8231176231176232,0.0597455803497227,0.9267459505541348,0.02935165900871559
Positive,1.25,2.75,linear,0.8374327906475649,0.05624774444834922,0.7806451612903226,0.06579380017539077,0.8920765639589169,0.07249769915735932,0.7972247401721086,0.08705902502306942
Negative,1.25,2.75,linear,0.8823030661539978,0.016302699170676987,0.8129032258064516,0.02413972507596094,0.8419943874216737,0.05481599042785714,0.9332173913043478,0.0502075842108275
Positive,1.25,3.0,linear,0.8470204730669847,0.042654052953864305,0.7935483870967742,0.0562438573360087,0.9374416433239963,0.01675216791549501,0.77642913608131,0.0745143496455859
Negative,1.25,3.0,linear,0.8432517482517483,0.04847667247721627,0.7677419354838708,0.06579380017539077,0.7927997213514455,0.07353615463238554,0.9064990275425057,0.051225738391247486
Positive,1.25,3.25,linear,0.8458957708957711,0.02992787115051026,0.7870967741935484,0.038709677419354833,0.9126775271512114,0.02764921473962141,0.7935507246376813,0.07127849478296744
Negative,1.25,3.25,linear,0.8442465328000743,0.05079228792767316,0.767741935483871,0.07184212081070998,0.8454265010351968,0.07791775277665089,0.8473227513227514,0.05266204945885412
Positive,1.5,0.5,linear,0.805139065785966,0.04224712056813315,0.6774193548387096,0.06120537406777506,0.7107262037184172,0.08000967879210287,0.9416086956521739,0.050077369251520384
Negative,1.5,0.5,linear,0.8878293418302668,0.04330067537874307,0.8258064516129032,0.06321263852343685,0.8265164835164835,0.07642892772133951,0.9673076923076923,0.048498154665071125
Positive,1.5,0.75,linear,0.7634872017224958,0.03563670672105581,0.664516129032258,0.0158031596308592,0.8093570566056334,0.1178651682011026,0.7672266139657444,0.16050003741982652
Negative,1.5,0.75,linear,0.8826546003016592,0.04984591871067235,0.8064516129032258,0.08160716542370013,0.8161375661375662,0.07773457389843927,0.9658095238095239,0.017290764053157114
Positive,1.5,1.0,linear,0.8146246826984946,0.0491569049580123,0.7225806451612904,0.06948599751141295,0.8236758893280631,0.11384252822628114,0.8207808857808858,0.06979066913785487
Negative,1.5,1.0,linear,0.886602495543672,0.05033608735295976,0.8193548387096774,0.08312321759177502,0.8396529396529397,0.09417430345285277,0.9488181818181818,0.03300644120013378
Positive,1.5,1.25,linear,0.810579180509413,0.05964310933309295,0.7290322580645162,0.07241917522788271,0.8920552897395002,0.036228642483865765,0.7466978818283166,0.0886977726182847
Negative,1.5,1.25,linear,0.8455474908481383,0.08505553961270572,0.767741935483871,0.12476825552137881,0.7926564495530013,0.11817210605721208,0.9188311688311689,0.08333754978932045
Positive,1.5,1.5,linear,0.8271456799774173,0.039363820681533844,0.767741935483871,0.03761904448287292,0.8781987577639752,0.08324989829160284,0.7877173913043478,0.04136348423655041
Negative,1.5,1.5,linear,0.8753516483516484,0.009599113391413757,0.8,0.0129032258064516,0.8328351648351647,0.03394835433397718,0.9254738015607581,0.03901321824410151
Positive,1.5,1.75,linear,0.8116308873784328,0.07268658845958421,0.7483870967741936,0.08510261908563174,0.8614551709040873,0.06811904394730751,0.7790205949656751,0.12547615213662155
Negative,1.5,1.75,linear,0.8716030423477232,0.050537330371864995,0.8,0.07184212081070998,0.8359770114942527,0.09595455143968996,0.9238783068783067,0.07276297665196914
Positive,1.5,2.0,linear,0.808763490595128,0.04675198719643248,0.7419354838709677,0.03533693919388169,0.8946319977266267,0.0796368681082117,0.7417040581251108,0.052322962474436525
Negative,1.5,2.0,linear,0.8459390564736534,0.03307709530931225,0.7548387096774193,0.05624385733600871,0.7650793650793651,0.03454989993082434,0.9477272727272726,0.04958505506652598
Positive,1.5,2.25,linear,0.8486749851455734,0.03372161672638795,0.7741935483870968,0.04561979233461596,0.874909090909091,0.03653414569485499,0.8252356339312861,0.04462039067627169
