Keywords,Alpha,C,kernel,Average_F1,StDv_F1,Average_Accuracy,StDv_Accuracy,Average_Precision,StDv_Precision,Average_Recall,StDv_Recall
Positive,1.5,3.0,linear,0.8546435436158145,0.08009400259879687,0.8,0.10327955589886448,0.9135642135642137,0.08080859616409566,0.8156368631368632,0.12238990313368318
Negative,1.5,3.0,linear,0.8606801275679994,0.06835964446292371,0.7933333333333332,0.09165151389911683,0.8165201465201466,0.11807645007294335,0.9273737373737372,0.06456347261195546
Positive,1.5,3.25,linear,0.7554063562183767,0.12319577070552717,0.7066666666666668,0.12364824660660942,0.8567063492063491,0.14159567048545926,0.6938811188811189,0.15473527247495852
Negative,1.5,3.25,linear,0.8964643874643874,0.05785717843942632,0.8333333333333334,0.08027729719194865,0.8407975357975358,0.08817957911566485,0.9679487179487178,0.0522347404806753
Positive,1.75,1.0,linear,0.8512998791489841,0.10470330654571623,0.7866666666666667,0.11850925889754121,0.8749603174603173,0.1185729226335398,0.8388805638805639,0.12740549721086736
Negative,1.75,1.0,linear,0.8907594788464355,0.06597465586562676,0.8266666666666665,0.0997775303139718,0.8347369297369298,0.10116883112772812,0.9642424242424242,0.05766818737146801
Positive,1.75,1.25,linear,0.7848307751087399,0.12586552615458313,0.74,0.1348249894410446,0.8700757575757576,0.12915679237907413,0.7292210567210566,0.14976593028900842
Negative,1.75,1.25,linear,0.8771484409310496,0.07721588464391467,0.8133333333333332,0.11469767022723504,0.8231501831501833,0.10185492654917655,0.9456410256410257,0.07358393615966398
Positive,1.75,1.5,linear,0.7739958482063745,0.14076245692084652,0.7266666666666668,0.1348249894410446,0.847770562770563,0.09359036625761531,0.7472727272727273,0.20674218828062088
Negative,1.75,1.5,linear,0.8328026219902652,0.09263956143115026,0.7533333333333333,0.1194431524477928,0.7807226107226107,0.1168711220415496,0.9018531468531469,0.0929888580563662
Positive,1.75,1.75,linear,0.8146819851302285,0.06386126222514849,0.7466666666666666,0.08844332774281069,0.9007323232323232,0.08214506732300776,0.7592679542679542,0.11630932424039145
Negative,1.75,1.75,linear,0.8563538474408039,0.09146197328097307,0.7866666666666667,0.12927146286443547,0.8324042624042625,0.12778476973528582,0.8924725274725276,0.09373970802724937
Positive,1.75,2.0,linear,0.8415635898628226,0.07146007847076966,0.7866666666666667,0.08326663997864533,0.8962121212121211,0.09204155746831837,0.8155555555555557,0.13302627637080247
Negative,1.75,2.0,linear,0.8525921308964787,0.07596158148514681,0.7733333333333335,0.10413666234542208,0.7834615384615384,0.08464899709791888,0.9434848484848486,0.09902659853610471
Positive,1.75,2.25,linear,0.8184066226171488,0.08657391186265448,0.7733333333333333,0.10413666234542208,0.8966991341991342,0.06737094119135714,0.762062937062937,0.12892697031841457
Negative,1.75,2.25,linear,0.8991880679706765,0.07480385223239079,0.8466666666666667,0.09910712498212337,0.8725441225441225,0.11886906799566918,0.9405594405594406,0.039341491409888685
Positive,1.75,2.5,linear,0.8627491076175288,0.06532891751769494,0.8200000000000001,0.08969082698049143,0.8774494949494949,0.08416496951014481,0.8558333333333333,0.08680233327352667
Negative,1.75,2.5,linear,0.8690166622088821,0.052212435901580416,0.8066666666666666,0.07571877794400368,0.8192424242424241,0.08613508525006594,0.934040404040404,0.059821180320495604
Positive,1.75,2.75,linear,0.7956953301256707,0.09304088545532081,0.7333333333333332,0.10749676997731401,0.8765873015873014,0.09801073182326578,0.7331168831168832,0.1061871318804952
