affect : 20,dirty towel : 0,dirty area : 0,annoying elevator : 0,dead : 2,pricey room : 15,annoying wifi : 0
cottage : 20,dirty wall : 0,dirty bathroom : 0,annoying habit : 0,dirty room : 2,rollaway bed : 15,argue : 0
outdated room : 20,dirty water : 0,dirty blanket : 0,annoying noise : 0,disappointing hotel : 2,garbage : 14,awkward bathroom : 0
stale smell : 20,disappointing : 0,dirty carpet : 0,annoying part : 0,disappointing selection : 2,handful : 14,awkward bit : 0
uncomfortable pillow : 20,disappointing area : 0,dirty carpeting : 0,annoying room : 0,disappointing stay : 2,paint : 14,awkward configuration : 0
garbage : 19,disappointing bathroom : 0,dirty chair : 0,annoying step : 0,dog : 2,poor selection : 14,awkward layout : 0
terrible service : 19,disappointing breakfast : 0,dirty clothe : 0,annoying wifi : 0,drunk : 2,stressful : 14,awkward position : 0
affair : 18,disappointing buffet : 0,dirty cup : 0,awkward bathroom : 0,duvet : 2,advanced : 13,awkward shower : 0
disappointing breakfast : 18,disappointing choice : 0,dirty curtain : 0,awkward bit : 0,existent : 2,disappointing breakfast : 13,awkward situation : 0
not disturb : 18,disappointing dinner : 0,dirty dish : 0,awkward configuration : 0,existent space : 2,gotemba : 13,awkward time : 0
pricey room : 18,disappointing experience : 0,dirty feel : 0,awkward layout : 0,fry : 2,pricey side : 13,background : 0
pricey side : 18,disappointing fact : 0,dirty filter : 0,awkward position : 0,garbage : 2,refuse : 13,backpacker : 0
refuse : 18,disappointing food : 0,dirty floor : 0,awkward shower : 0,gesture : 2,tear : 13,ball : 0
tear : 18,disappointing gym : 0,dirty glass : 0,awkward situation : 0,horrible room : 2,terrible service : 13,bang : 0
worst experience : 18,disappointing hotel : 0,dirty hallway : 0,awkward time : 0,inconsistent : 2,affect : 12,bare : 0
advanced : 17,disappointing location : 0,dirty hotel : 0,background : 0,liking : 2,confuse : 12,bare bone : 0
blanket : 17,disappointing lounge : 0,dirty linen : 0,backpacker : 0,little disappointing : 2,hanger : 12,bare foot : 0
poor selection : 17,disappointing meal : 0,dirty luggage : 0,ball : 0,mediocre breakfast : 2,not disturb : 12,bare minimum : 0
pricey breakfast : 17,disappointing place : 0,dirty restaurant : 0,bare : 0,minor problem : 2,worst part : 12,bare necessity : 0
argue : 16,disappointing point : 0,dirty room : 0,bare bone : 0,packet : 2,accurate : 11,bare room : 0
confuse : 16,disappointing pool : 0,dirty rug : 0,bare foot : 0,plate : 2,argue : 11,bare wall : 0
minor complaint : 16,disappointing quality : 0,dirty sheet : 0,bare minimum : 0,poor condition : 2,disappointing experience : 11,blanket : 0
disappointing experience : 15,disappointing recommendation : 0,dirty stain : 0,bare necessity : 0,poor food : 2,disappointing stay : 11,bottled drink : 0
stale smoke : 15,disappointing restaurant : 0,dirty toilet : 0,bare room : 0,poor management : 2,minor complaint : 11,bottled tea : 0
unfriendly staff : 15,disappointing room : 0,dirty towel : 0,bare wall : 0,poor quality : 2,sticky : 11,burger : 0
worst part : 15,disappointing selection : 0,dirty wall : 0,bottled drink : 0,poor signal : 2,suffer : 11,camping : 0
dusty room : 14,disappointing service : 0,dirty water : 0,bottled tea : 0,pricey hotel : 2,terrible breakfast : 11,claim : 0
hanger : 14,disappointing stay : 0,disappointing area : 0,burger : 0,pricey restaurant : 2,unfriendly staff : 11,claustrophobic : 0
