Keywords,Alpha,C,kernel,Average_F1,StDv_F1,Average_Accuracy,StDv_Accuracy,Average_Precision,StDv_Precision,Average_Recall,StDv_Recall
Negative,1.75,2.75,linear,0.8189063169150753,0.020097705968515622,0.7680851063829787,0.025620413997430414,0.7711031595301697,0.024845605680577545,0.8734971917616692,0.022490514098100933
Positive,1.75,3.0,linear,0.8619296948489831,0.021064304466760584,0.8387234042553192,0.02598533555876091,0.8947581315064491,0.02338597861526083,0.8322623095306281,0.03219788538748678
Negative,1.75,3.0,linear,0.8146845147437988,0.031786304829151214,0.7634042553191489,0.03415937402619488,0.7719982416905438,0.03729804996764737,0.8633648391186878,0.03622466518828001
Positive,1.75,3.25,linear,0.8471353769344286,0.0190936343017959,0.8251063829787235,0.02326457350270066,0.8737422261032981,0.03497171211137604,0.8236021390436365,0.029159780293390114
Negative,1.75,3.25,linear,0.821312537560724,0.02258265848015197,0.7757446808510639,0.02145035431681458,0.7738571419624758,0.032359874051117246,0.8758700512569779,0.022367147728269164
Positive,2.0,1.0,linear,0.8695372825085274,0.01501654734640517,0.8514893617021275,0.017694147137269613,0.9023527415053115,0.028718253752858105,0.8400633641033007,0.024501955709942343
Negative,2.0,1.0,linear,0.8157401952358262,0.018796248572800853,0.7659574468085106,0.02084672121517599,0.7684183791119061,0.020739205113704934,0.8699320044036994,0.02813504070457146
Positive,2.0,1.25,linear,0.8659175644636525,0.020078202470634323,0.8417021276595744,0.022420323186926803,0.8850557343324844,0.02639617227218868,0.8482186985720046,0.02602628055904399
Negative,2.0,1.25,linear,0.8293088648407441,0.01621371391213348,0.7770212765957446,0.02229072485737668,0.7752435128373764,0.01785604854065674,0.8919621872352176,0.024026957014893192
Positive,2.0,1.5,linear,0.8560663526436528,0.017777630274203197,0.8370212765957445,0.018747566614392103,0.8855669140043734,0.027708535233103574,0.8292562575915315,0.02459860460020266
Negative,2.0,1.5,linear,0.8202976979244927,0.019202315155447024,0.7697872340425531,0.021484094572535074,0.7593379475132938,0.02871745886440719,0.8928453870787194,0.021446451132540838
Positive,2.0,1.75,linear,0.8632934143985193,0.015160542090460296,0.8404255319148936,0.01867013699445135,0.8953300268855922,0.027397101532323557,0.8345792542201593,0.02698436609905134
Negative,2.0,1.75,linear,0.8334600456055623,0.015916116013462187,0.7812765957446809,0.018954091447931996,0.7733658212346213,0.026370855570682354,0.9047628769032382,0.022607018815425463
